Mapped at 0x7fab9b55f000 (0x4e3f68)
Index	S	r	M	M
315	197	64	255	51
316	48	245	255	230
317	258	61	242	230
318	258	48	255	230
319	255	64	242	243
320	258	48	242	240
321	51	245	255	230
322	242	51	255	230
323	258	61	245	243
324	242	61	218	51
325	258	233	67	255
326	618	61	242	51
327	255	64	236	243
328	245	64	255	230
329	221	61	255	227
330	51	255	242	221
331	258	48	242	243
332	218	51	258	230
333	258	64	218	218
334	258	61	67	51
335	255	230	67	258
336	255	64	245	230
337	258	48	242	243
338	258	48	242	240
339	245	61	255	230
340	64	258	218	227
341	245	48	228	227
342	245	61	245	230
343	248	64	227	233
344	64	258	242	243
345	255	51	243	227
346	248	61	218	230
347	245	61	255	230
348	173	64	255	230
349	61	245	215	230
350	258	51	242	243
351	231	48	933	230
352	194	64	215	227
353	91	64	258	230
354	64	221	242	243
355	245	64	258	218
356	258	48	242	243
357	258	61	242	243
358	64	245	255	230
359	48	64	255	227
360	245	61	237	230
361	258	48	242	243
362	245	51	255	230
363	64	255	215	230
364	255	51	242	240
365	258	64	245	243
366	245	61	258	227
367	64	64	255	227
368	51	245	239	230
369	245	64	255	218
370	242	64	255	230
371	258	48	218	64
372	242	243	67	224
373	252	48	242	64
374	242	61	255	230
375	255	51	245	243
376	242	61	255	230
377	64	245	242	230
378	245	61	258	230
379	258	51	242	243
380	242	64	255	230
381	73	64	239	233
382	48	245	255	230
383	255	48	360	243
384	255	64	239	227
385	245	64	255	130
386	51	51	258	230
387	64	242	242	230
388	255	64	948	227
389	242	51	258	230
390	258	64	230	234
391	179	48	245	243
392	48	245	255	230
393	245	64	258	230
394	261	51	242	243
395	245	61	215	51
396	242	233	54	255
397	194	48	245	64
398	255	51	218	230
399	258	64	245	230
400	231	48	242	230
401	48	245	252	227
402	245	51	482	243
403	218	61	242	227
404	245	48	258	221
405	261	61	255	230
406	51	218	255	230
407	242	51	255	258
408	255	51	245	243
409	242	64	255	218
410	64	242	255	230
411	51	64	255	230
412	245	64	231	230
413	258	48	242	243
414	245	61	255	230
415	64	261	218	230
416	255	51	242	243
417	242	61	255	230
418	245	61	255	221
419	221	48	122	48
420	245	230	64	242
421	258	61	476	230
422	242	64	252	230
423	258	48	242	243
424	245	61	228	230
425	61	573	255	230
426	242	64	255	233
427	255	51	218	230
428	258	64	242	231
429	64	61	258	230
430	48	242	255	227
431	255	48	242	246
432	242	64	255	230
433	255	48	245	221
434	64	258	242	230
435	61	64	255	230
436	258	61	242	234
437	242	64	258	230
438	234	48	242	64
439	255	230	67	215
440	258	51	639	64
441	258	48	242	230
442	255	64	242	230
443	245	64	255	230
444	64	261	239	240
445	258	51	242	243
446	258	48	242	240
447	245	61	255	48
448	255	230	67	255
