Mapped at 0x7fab9b55f000 (0x4e3f68)
Index	S	r	M	M
4078	245	243	239	240
4079	64	242	242	227
4080	242	246	242	243
4081	258	51	242	243
4082	245	243	221	203
4083	194	64	221	237
4084	245	64	224	203
4085	212	64	228	230
4086	64	194	255	206
4087	64	394	200	221
4088	236	64	194	206
4089	194	64	215	243
4090	221	64	194	294
4091	218	51	218	206
4092	218	64	224	224
4093	61	224	312	264
4094	224	64	218	276
4095	194	51	218	209
4096	203	51	218	227
4097	194	51	218	285
4098	48	197	194	206
4099	48	245	258	221
4100	181	51	255	221
4101	249	51	227	249
4102	219	60	203	206
4103	212	76	231	200
4104	219	54	57	57
4105	197	206	212	197
4106	261	200	197	230
4107	682	282	70	178
4108	246	191	221	197
4109	181	254	67	200
4110	261	233	233	64
4111	264	67	240	203
4112	206	197	194	224
4113	206	197	197	203
4114	264	67	267	264
4115	224	67	264	606
4116	221	70	206	221
4117	57	251	264	270
4118	100	100	255	257
4119	245	61	218	230
4120	242	64	255	230
4121	221	51	242	243
4122	51	242	255	230
4123	258	48	242	243
4124	242	64	221	243
4125	258	48	282	243
4126	242	64	67	252
4127	258	224	64	61
4128	255	64	239	230
4129	255	51	245	243
4130	242	64	218	243
4131	51	64	255	230
4132	51	72	239	231
4133	258	48	245	227
4134	242	64	255	233
4135	255	51	242	243
4136	48	255	242	221
4137	242	64	258	230
4138	255	64	245	230
4139	255	51	242	246
4140	264	64	255	230
4141	61	258	242	243
4142	242	64	252	230
4143	245	51	255	1015
4144	230	64	312	227
4145	242	64	255	61
4146	258	230	67	255
4147	215	64	258	51
4148	245	64	252	230
4149	245	64	255	230
4150	258	64	245	243
4151	51	242	218	221
4152	255	64	239	227
4153	245	61	255	230
4154	255	51	221	64
4155	245	243	54	242
4156	215	64	255	61
4157	245	64	215	243
4158	258	48	242	243
4159	245	64	258	230
4160	61	258	215	230
4161	64	64	252	227
4162	218	61	242	240
4163	258	48	442	243
4164	255	51	242	243
4165	48	231	245	243
4166	245	61	255	233
4167	245	64	255	233
4168	242	64	255	227
4169	51	261	255	230
4170	61	48	242	231
4171	245	64	218	243
4172	261	61	242	230
4173	255	64	242	64
4174	242	230	67	258
4175	258	51	242	64
4176	242	64	252	230
4177	255	51	245	237
4178	245	64	255	600
4179	61	258	242	243
4180	218	64	242	234
4181	245	51	255	227
4182	258	64	527	246
4183	61	258	239	240
4184	245	64	255	230
4185	255	51	242	240
4186	245	61	255	230
4187	258	48	54	51
4188	258	230	67	252
4189	245	51	255	221
4190	255	64	245	243
4191	255	48	242	243
4192	264	61	255	230
4193	51	245	255	230
4194	255	51	215	230
4195	245	61	258	230
4196	255	64	242	51
4197	242	243	67	245
4198	237	51	242	64
4199	218	61	245	230
4200	245	48	255	227
4201	245	61	624	243
4202	61	237	242	243
4203	245	61	255	221
4204	258	51	255	227
4205	243	51	242	243
4206	258	48	54	51
4207	245	243	51	48
4208	245	61	237	218
4209	258	48	245	240
4210	245	51	255	230
4211	203	64	215	227
4212	64	258	239	243
4213	245	64	242	230
4214	255	48	215	233
4215	245	61	255	997
4216	64	255	242	243
4217	48	91	245	231
4218	218	61	242	230
4219	255	64	242	230
4220	242	61	255	445
4221	64	261	245	243
4222	64	61	245	230
4223	255	51	242	243
4224	242	48	255	230
4225	255	51	242	240
4226	51	242	255	230
4227	258	48	242	218
4228	258	61	242	227
4229	255	51	242	61
4230	48	245	252	230
4231	61	64	218	243
4232	245	64	255	230
4233	255	48	242	243
4234	245	61	215	48
4235	248	230	64	242
4236	224	51	252	64
4237	218	61	218	230
4238	258	51	242	243
4239	218	64	252	442
4240	51	258	255	227
4241	245	61	255	230
4242	218	51	255	230
4243	245	64	255	51
4244	245	243	54	242
4245	197	51	242	64
4246	258	61	242	243
4247	245	51	258	230
4248	255	51	245	240
4249	51	242	255	230
4250	258	51	242	243
4251	242	64	252	230
4252	694	61	215	230
4253	48	245	255	230
4254	61	64	252	227
4255	245	61	258	230
4256	221	61	255	230
4257	231	48	242	230
4258	64	258	242	464
4259	242	61	258	227
4260	218	61	255	230
4261	258	51	242	218
4262	258	61	54	51
4263	249	221	67	255
4264	242	64	255	233
4265	258	64	242	243
4266	242	51	234	230
4267	64	64	255	230
4268	51	257	255	230
4269	258	61	215	230
4270	245	64	252	227
4271	255	51	148	64
4272	245	243	67	242
4273	191	64	258	51
4274	242	61	258	230
4275	245	48	234	218
4276	242	64	258	230
4277	61	255	242	585
4278	245	61	255	230
4279	258	51	242	221
4280	245	64	252	227
4281	258	48	245	243
4282	48	242	258	230
4283	258	48	242	230
4284	258	64	224	243
4285	255	51	154	64
4286	255	230	67	255
4287	533	48	255	64
4288	255	64	242	243
4289	997	51	245	243
4290	245	64	255	224
4291	61	245	239	230
4292	64	61	255	230
4293	242	64	258	230
4294	258	51	215	230
4295	248	61	255	230
4296	64	255	242	243
4297	245	61	255	230
4298	242	64	215	243
4299	245	61	215	255
4300	261	48	242	64
4301	218	230	64	255
4302	258	51	245	64
4303	258	61	242	233
4304	218	51	255	230
4305	242	64	258	218
4306	64	424	255	230
4307	230	64	258	230
4308	245	51	255	230
4309	255	51	242	64
4310	258	224	67	255
4311	255	51	242	64
4312	245	64	255	230
4313	255	51	218	221
4314	242	48	255	230
4315	51	245	255	233
4316	255	48	245	227
4317	255	64	242	243
4318	245	61	255	230
4319	258	48	242	48
4320	242	246	51	242
4321	255	51	242	243
4322	242	64	252	233
4323	245	61	242	230
4324	224	64	258	230
4325	61	503	255	864
4326	197	64	242	233
4327	258	61	245	243
4328	242	64	255	64
4329	64	64	258	230
4330	51	258	221	243
4331	245	64	255	230
4332	245	64	215	243
4333	258	48	215	230
4334	64	258	242	230
4335	224	64	258	227
4336	242	64	227	243
4337	245	61	258	230
4338	231	51	242	240
4339	64	258	245	234
4340	242	61	255	230
4341	218	61	255	230
4342	258	51	151	64
4343	245	230	67	242
4344	200	51	209	48
4345	245	64	252	227
4346	258	61	242	230
4347	255	51	227	230
4348	51	245	255	230
4349	242	51	255	230
4350	258	61	215	227
4351	245	61	215	240
4352	64	51	242	246
4353	61	185	255	227
4354	242	64	239	233
4355	242	64	255	230
4356	258	48	242	61
4357	255	230	67	255
4358	194	64	255	51
4359	242	64	258	218
4360	255	51	255	230
4361	455	48	218	230
4362	61	258	239	240
4363	245	61	324	243
4364	242	51	255	230
4365	258	64	242	230
4366	258	51	51	64
4367	258	230	67	64
4368	245	48	255	230
4369	258	51	245	240
4370	245	61	215	218
4371	51	48	255	230
4372	61	245	242	243
4373	258	48	218	230
4374	245	64	255	227
4375	237	51	258	230
4376	48	242	221	227
4377	51	51	255	230
4378	218	61	242	243
4379	242	64	252	221
4380	230	61	255	48
4381	218	243	67	245
4382	242	64	424	231
4383	258	48	242	240
4384	218	64	242	230
4385	191	64	258	230
4386	64	258	239	243
4387	258	48	242	243
4388	242	64	258	230
4389	242	61	258	221
4390	64	258	215	230
4391	61	64	255	230
4392	242	61	258	230
4393	242	51	234	230
4394	255	64	218	64
4395	61	245	245	243
4396	218	64	255	230
4397	242	64	255	227
4398	258	48	242	109
4399	218	61	64	252
4400	258	230	51	48
4401	245	61	506	243
4402	255	51	242	243
4403	242	61	255	230
4404	64	64	242	230
4405	51	164	228	230
4406	255	51	242	243
4407	242	61	245	230
4408	255	51	215	64
4409	242	243	54	245
4410	197	64	242	51
4411	255	64	239	224
4412	258	51	239	230
4413	255	51	245	243
4414	51	245	255	221
4415	242	64	255	230
4416	255	51	242	230
4417	255	61	242	231
4418	206	64	255	227
4419	64	261	239	243
4420	258	48	563	231
4421	242	61	242	230
4422	242	64	255	227
4423	64	64	252	230
4424	48	151	242	243
4425	255	51	245	243
4426	242	48	258	230
4427	258	48	242	64
4428	51	242	221	230
4429	245	61	255	227
4430	242	64	255	230
4431	255	51	242	243
4432	242	61	79	64
4433	242	230	67	242
4434	1260	64	252	227
4435	258	61	242	221
4436	255	61	242	230
4437	243	51	245	243
4438	48	245	252	230
4439	258	48	663	243
4440	242	61	255	230
4441	255	48	239	227
4442	64	64	255	227
4443	64	242	245	243
4444	258	64	245	230
4445	242	64	255	227
4446	258	51	154	64
4447	248	240	54	245
4448	197	61	258	51
4449	239	64	255	230
4450	258	64	245	215
4451	242	64	258	230
4452	61	258	239	234
4453	242	64	258	230
4454	258	51	242	240
4455	245	64	255	230
4456	218	51	255	230
4457	48	255	215	243
4458	258	61	242	473
4459	242	64	258	230
4460	255	48	215	227
4461	64	64	242	230
4462	61	258	242	243
4463	258	64	242	224
4464	258	51	255	230
4465	258	64	242	243
4466	51	245	255	218
4467	51	51	255	227
4468	339	64	258	230
4469	242	64	258	218
4470	245	64	255	51
4471	1227	91	64	61
4472	242	64	258	233
4473	255	64	242	243
4474	245	61	255	227
4475	218	51	255	230
4476	64	258	242	230
4477	258	48	242	494
4478	242	64	255	230
4479	258	51	242	243
4480	245	61	67	64
4481	245	243	54	245
4482	242	64	258	230
4483	245	64	218	230
4484	242	64	258	230
4485	109	48	245	243
4486	48	172	236	224
4487	415	64	255	233
4488	231	51	242	240
4489	261	64	242	64
4490	242	230	51	255
4491	194	48	245	61
4492	258	51	245	218
4493	242	64	255	233
4494	231	51	218	230
4495	61	258	242	249
4496	255	51	242	567
4497	242	51	258	230
4498	255	48	245	243
4499	258	61	118	64
4500	258	224	67	255
4501	245	61	255	230
4502	255	51	239	240
4503	245	61	258	227
4504	82	51	255	230
4505	51	242	255	230
4506	506	64	218	230
4507	258	61	242	230
4508	518	64	255	227
4509	51	242	215	243
4510	258	64	239	233
4511	242	64	242	227
4512	245	48	258	221
4513	61	64	215	227
4514	61	61	242	243
4515	255	61	245	664
4516	255	51	242	230
4517	258	61	242	243
4518	51	245	252	230
4519	258	64	242	246
4520	242	51	255	230
4521	255	48	242	240
4522	251	51	245	243
4523	48	255	258	230
4524	242	64	258	230
4525	591	64	255	233
4526	242	61	246	51
4527	258	230	67	255
4528	197	51	242	61
4529	245	48	228	230
4530	255	64	242	243
4531	255	64	245	230
4532	48	242	215	218
4533	255	51	245	243
4534	228	51	239	243
4535	258	48	242	240
4536	242	61	100	64
4537	218	246	51	242
4538	255	64	239	234
4539	255	51	255	227
4540	234	51	242	243
4541	242	51	255	230
4542	64	258	242	243
4543	494	48	242	243
4544	651	64	255	233
4545	242	51	255	227
4546	64	258	245	243
4547	48	51	239	227
4548	242	61	242	230
4549	215	64	258	230
4550	255	48	242	64
4551	245	237	51	242
4552	231	48	242	64
4553	242	64	258	218
4554	255	51	242	243
4555	218	48	242	243
4556	51	242	255	230
4557	258	64	242	230
4558	258	51	242	240
4559	245	61	264	51
4560	255	230	64	255
4561	242	224	54	51
4562	258	48	242	243
4563	242	64	221	243
4564	255	51	215	227
4565	64	64	242	230
4566	51	121	255	230
4567	258	64	218	243
4568	245	64	252	230
4569	258	48	242	64
4570	258	230	64	212
4571	194	64	255	51
4572	245	64	255	230
4573	255	64	239	234
4574	245	61	255	230
4575	64	258	242	243
4576	245	64	255	230
4577	258	51	242	240
4578	245	61	255	230
4579	221	48	242	230
4580	51	257	215	227
4581	242	64	258	230
4582	261	61	327	243
4583	255	51	242	64
4584	258	230	64	255
4585	194	61	221	64
4586	255	61	242	230
4587	242	64	258	230
4588	258	48	242	240
4589	51	245	215	234
4590	245	64	255	230
4591	255	51	242	218
4592	242	64	252	230
4593	61	64	242	243
4594	51	258	255	221
4595	242	64	255	230
4596	258	61	242	243
4597	245	61	167	64
4598	258	230	67	255
4599	197	51	242	64
4600	255	51	258	227
4601	248	64	412	243
4602	255	64	239	227
4603	51	245	255	230
4604	61	64	258	230
4605	245	64	255	233
4606	255	48	242	221
4607	242	61	258	61
4608	255	230	67	218
4609	258	51	239	64
4610	242	64	255	230
4611	245	64	255	227
4612	242	51	245	243
4613	51	258	239	233
4614	245	48	255	230
4615	258	61	242	227
4616	242	64	1006	51
4617	258	227	67	255
4618	218	230	64	255
4619	255	51	245	243
4620	248	61	500	243
4621	255	64	245	230
4622	124	64	258	230
4623	64	255	255	227
4624	242	64	255	230
4625	255	64	239	227
4626	245	64	255	106
4627	258	64	54	218
4628	242	243	54	51
4629	255	64	224	240
4630	245	64	258	230
4631	255	51	245	243
4632	48	255	215	243
4633	64	61	255	230
4634	218	61	242	230
4635	245	64	252	224
4636	255	51	245	64
4637	221	234	54	242
4638	194	64	215	51
4639	242	64	597	243
4640	231	48	242	243
4641	255	51	242	237
4642	64	258	242	240
4643	51	51	245	243
4644	258	61	242	234
4645	255	48	255	230
4646	230	51	258	64
4647	245	243	51	242
4648	258	48	242	243
4649	243	51	221	230
4650	258	64	242	230
4651	212	61	255	233
4652	48	258	215	243
4653	242	64	994	227
4654	258	61	242	240
4655	245	64	218	240
4656	218	61	67	255
4657	245	246	54	51
4658	242	51	679	243
4659	255	64	242	227
4660	255	51	255	230
4661	64	258	245	231
4662	64	64	242	227
4663	245	61	255	227
4664	242	51	255	233
4665	255	61	242	64
4666	255	230	67	258
4667	258	51	245	243
4668	224	64	255	233
4669	258	64	242	243
4670	67	64	242	243
4671	48	258	255	227
4672	245	61	167	64
4673	255	51	245	243
4674	261	61	242	109
4675	231	48	51	255
4676	245	243	51	48
4677	258	48	242	458
4678	242	61	215	230
4679	245	48	258	230
4680	218	64	258	230
4681	61	258	242	227
4682	242	61	255	48
4683	218	48	255	230
4684	242	64	255	221
4685	64	255	242	243
4686	61	64	258	230
4687	351	64	252	221
4688	242	61	258	230
4689	248	64	240	51
4690	828	233	67	64
4691	258	48	255	230
4692	245	61	215	243
4693	242	64	215	243
4694	218	64	255	230
4695	61	245	239	230
4696	258	61	215	485
4697	245	48	255	230
4698	218	51	167	64
4699	245	230	67	218
4700	255	51	242	64
4701	221	48	242	243
4702	255	61	242	234
4703	242	64	255	230
4704	64	218	255	230
4705	64	64	255	230
4706	406	64	255	233
4707	242	64	221	243
4708	258	51	242	61
4709	245	230	51	255
4710	242	51	228	230
4711	242	61	255	230
4712	255	51	239	230
4713	231	51	227	237
4714	64	258	239	243
4715	258	51	239	573
4716	258	48	242	221
4717	258	61	242	243
4718	64	245	255	230
4719	51	48	258	233
4720	245	48	255	230
4721	242	64	255	233
4722	245	61	258	51
4723	258	230	67	255
4724	242	64	255	230
4725	767	51	245	234
4726	242	64	258	230
4727	255	64	245	230
4728	51	258	258	230
4729	255	64	239	243
4730	245	61	234	230
4731	258	51	167	64
4732	255	224	67	252
4733	258	48	215	51
4734	258	64	242	664
4735	224	61	255	230
4736	258	61	233	240
4737	51	245	258	230
4738	61	64	255	230
4739	242	51	258	218
4740	242	64	258	230
4741	221	61	242	64
4742	258	230	64	215
4743	242	64	258	230
4744	591	64	252	233
4745	242	61	255	230
4746	216	51	242	243
4747	51	239	215	243
4748	242	64	255	230
4749	242	64	255	230
4750	258	48	242	64
4751	245	237	51	242
4752	258	51	242	64
4753	248	64	255	230
4754	255	51	239	243
4755	245	61	258	230
4756	64	221	215	230
4757	245	61	255	230
4758	245	61	255	230
4759	258	61	242	230
4760	64	61	224	243
4761	64	255	242	230
4762	715	64	255	230
4763	654	64	255	233
4764	255	51	154	64
4765	258	230	64	255
4766	197	64	218	64
4767	255	64	242	243
4768	224	61	255	230
4769	258	51	242	243
4770	61	248	215	230
4771	255	64	242	230
4772	242	64	258	230
4773	242	61	255	230
4774	242	51	242	64
4775	61	255	242	243
4776	242	64	255	230
4777	258	48	245	243
4778	245	61	255	230
4779	64	64	255	230
4780	51	258	255	230
4781	258	48	221	230
4782	258	61	227	243
4783	255	51	239	243
4784	51	255	215	243
4785	64	64	255	230
4786	218	48	242	240
4787	255	51	239	224
4788	258	61	242	64
4789	218	243	54	227
4790	258	64	239	231
4791	258	51	242	240
4792	218	48	245	243
4793	255	51	242	218
4794	64	258	242	243
4795	255	48	242	230
4796	255	64	242	230
4797	242	61	234	51
4798	255	224	67	1200
4799	258	233	67	255
4800	261	48	245	243
4801	242	61	303	243
4802	255	51	242	240
4803	257	51	242	230
4804	61	255	242	240
4805	242	64	255	227
4806	245	51	255	230
4807	242	64	167	64
4808	258	230	67	237
4809	245	61	255	51
4810	255	51	242	243
4811	242	61	242	230
4812	245	48	255	230
4813	61	258	242	230
4814	51	51	245	243
4815	242	64	258	230
4816	242	61	255	230
4817	258	48	245	243
4818	48	245	258	230
4819	258	64	245	243
4820	242	64	391	243
4821	245	61	215	152
4822	245	64	67	258
4823	255	230	64	61
4824	245	64	228	230
4825	258	48	242	243
4826	218	61	242	243
4827	51	245	215	231
4828	61	64	242	243
4829	221	48	255	230
4830	242	61	255	221
4831	255	51	242	64
4832	224	224	67	255
4833	194	64	242	48
4834	261	64	245	243
4835	245	48	234	933
4836	245	61	242	230
4837	64	51	245	243
4838	61	255	215	243
4839	242	51	485	243
4840	242	61	258	230
4841	255	48	151	61
4842	245	246	54	242
4843	245	61	255	51
4844	245	61	255	224
4845	245	48	255	227
4846	258	64	242	221
4847	51	245	255	218
4848	245	61	255	221
4849	242	64	255	230
4850	218	48	258	230
4851	258	64	124	61
4852	258	230	64	76
4853	242	64	240	230
4854	258	51	242	243
4855	242	64	258	230
4856	64	51	227	243
4857	51	245	255	227
4858	255	51	548	243
4859	245	61	215	243
4860	255	48	242	230
4861	61	255	242	243
4862	51	51	242	218
4863	258	61	242	243
4864	258	48	242	227
4865	255	64	245	51
4866	245	243	67	245
4867	258	48	245	64
4868	242	51	255	230
4869	258	48	245	243
4870	245	64	255	230
4871	61	258	239	240
4872	1103	51	242	243
4873	242	51	258	230
4874	242	64	255	145
4875	228	51	54	242
4876	245	230	51	61
4877	242	64	682	243
4878	245	64	255	227
4879	258	51	215	230
4880	266	51	245	243
4881	61	258	239	240
4882	245	61	215	240
4883	255	64	245	230
4884	228	51	151	64
4885	255	230	67	255
4886	194	64	255	51
4887	206	64	252	230
4888	242	61	255	227
4889	255	51	242	230
4890	61	258	242	227
4891	245	61	255	230
4892	258	61	245	230
4893	242	64	255	230
4894	218	51	215	230
4895	64	242	255	230
4896	255	61	242	455
4897	245	64	228	230
4898	245	61	258	91
4899	242	64	67	258
4900	255	230	67	64
4901	245	64	255	233
4902	245	48	258	230
4903	245	64	242	230
4904	64	64	255	227
4905	51	242	255	230
4906	315	64	255	230
4907	1048	61	255	233
4908	245	61	218	48
4909	255	230	64	255
4910	197	64	255	51
4911	215	48	242	246
4912	258	51	215	224
4913	218	51	242	243
4914	64	221	255	230
4915	242	61	242	445
4916	258	48	255	230
4917	218	64	245	230
4918	242	61	64	64
4919	258	230	64	255
4920	218	48	255	227
4921	255	51	245	243
4922	245	64	252	230
4923	252	64	221	240
4924	51	242	237	230
4925	366	64	255	230
4926	245	61	255	230
4927	242	61	215	243
4928	51	245	255	230
4929	61	64	255	230
4930	245	61	249	230
4931	258	51	242	243
4932	218	64	242	51
4933	261	233	67	231
4934	258	48	242	576
4935	218	61	258	230
4936	242	64	239	221
4937	245	48	255	230
4938	64	234	239	240
4939	258	61	245	243
4940	255	64	245	243
4941	245	64	231	227
4942	64	255	242	243
4943	51	48	242	243
4944	1500	61	255	230
4945	242	61	255	221
4946	245	64	255	51
4947	245	243	54	215
4948	245	61	255	51
4949	245	61	258	233
4950	242	61	258	221
4951	242	51	234	227
4952	64	258	242	230
4953	242	61	255	612
4954	255	48	242	240
4955	242	64	252	51
4956	48	245	255	230
4957	64	64	258	230
4958	258	51	242	243
4959	255	64	239	230
4960	245	64	255	230
4961	64	258	224	243
4962	245	64	255	227
4963	560	64	255	233
4964	258	51	151	64
4965	258	230	67	255
4966	209	64	255	51
4967	245	64	228	230
4968	258	51	242	240
4969	218	48	242	243
4970	51	245	215	234
4971	255	64	242	230
4972	218	64	258	230
4973	245	64	258	221
4974	48	51	239	227
4975	64	118	242	240
4976	245	61	255	230
4977	242	64	239	233
4978	242	61	234	233
4979	64	258	242	240
4980	245	61	258	1197
4981	255	51	224	230
4982	651	64	161	64
4983	188	258	245	230
4984	64	258	242	227
4985	258	48	255	230
4986	255	64	245	243
4987	245	61	255	218
4988	48	258	255	230
4989	51	48	231	218
4990	245	64	255	221
4991	245	64	255	230
4992	245	64	255	230
4993	61	245	258	230
4994	258	51	239	230
4995	245	64	255	230
4996	258	64	245	230
4997	51	242	255	230
4998	64	64	215	243
4999	248	64	255	230
5000	245	51	255	230
5001	245	64	249	51
5002	64	258	239	243
5003	255	64	242	243
5004	258	51	215	230
5005	245	61	258	230
5006	51	61	258	230
5007	51	245	249	230
5008	255	51	218	230
5009	234	48	242	246
5010	255	51	151	48
5011	51	255	239	230
5012	51	57	242	240
5013	245	61	255	218
5014	242	64	258	230
5015	255	61	245	51
5016	242	230	67	242
5017	246	48	242	64
5018	194	51	215	230
5019	258	61	245	230
5020	242	64	291	243
5021	61	258	215	230
5022	258	51	242	243
5023	255	64	242	230
5024	245	61	255	170
5025	143	64	255	230
5026	51	245	255	227
5027	245	61	215	231
5028	242	61	258	230
5029	255	51	245	243
5030	48	258	252	230
5031	64	51	242	243
5032	245	64	255	227
5033	258	48	242	227
5034	245	64	255	51
5035	258	230	64	255
5036	242	64	255	230
5037	255	48	242	230
5038	255	64	245	243
5039	173	51	448	243
5040	61	258	239	230
5041	255	51	242	243
5042	242	61	227	240
5043	255	48	255	230
5044	64	255	242	243
5045	51	51	242	218
5046	258	48	242	231
5047	245	64	258	233
5048	242	64	252	48
5049	48	245	252	230
5050	255	61	245	243
5051	242	61	255	230
5052	258	48	151	64
5053	48	258	255	230
5054	51	48	991	243
5055	245	64	258	230
5056	237	48	242	243
5057	258	48	242	243
5058	51	51	651	243
5059	48	245	258	221
5060	255	51	245	231
5061	258	48	242	249
5062	242	64	255	233
5063	61	231	227	227
5064	64	61	242	230
5065	242	64	255	221
5066	242	64	234	230
5067	245	64	255	64
5068	258	230	64	258
5069	255	64	218	64
5070	255	51	242	243
5071	258	64	245	243
5072	261	61	245	227
5073	61	255	245	243
5074	242	51	258	230
5075	228	51	255	221
5076	258	51	154	64
5077	255	230	67	206
5078	215	64	255	51
5079	261	48	245	230
5080	258	48	242	246
5081	245	51	255	227
5082	51	261	252	230
5083	64	48	242	243
5084	245	64	255	221
5085	242	51	258	233
5086	255	64	242	48
5087	258	230	67	255
5088	245	61	242	230
5089	242	64	773	227
5090	255	64	245	230
5091	258	48	242	243
5092	64	255	218	246
5093	258	51	255	230
5094	231	48	242	230
5095	245	61	239	227
5096	61	258	639	240
5097	64	61	242	243
5098	255	61	245	234
5099	258	61	242	243
5100	218	64	252	227
5101	64	242	258	221
5102	255	48	242	240
5103	239	64	258	218
5104	245	61	164	64
5105	242	243	54	242
5106	233	97	242	61
5107	245	61	245	230
5108	245	51	258	230
5109	242	64	215	243
5110	64	261	239	243
5111	64	61	255	230
5112	258	51	224	227
5113	218	64	255	224
5114	258	48	242	64
5115	218	230	64	400
5116	258	48	242	234
5117	258	51	242	249
5118	221	61	255	230
5119	255	64	255	221
5120	51	242	255	230
5121	255	64	239	230
5122	245	61	255	221
5123	258	51	151	64
5124	242	237	54	245
5125	318	91	242	64
5126	245	61	782	243
5127	255	64	218	243
5128	245	64	255	230
5129	64	64	255	230
5130	51	245	255	227
5131	255	64	242	243
5132	215	64	239	227
5133	245	61	255	218
5134	48	245	252	448
5135	61	64	242	233
5136	242	61	255	230
5137	255	48	242	243
5138	245	61	255	230
5139	61	245	239	230
5140	258	61	245	243
5141	242	64	258	230
5142	255	64	242	91
5143	245	64	67	255
5144	382	243	67	51
5145	245	64	258	230
5146	242	64	258	230
5147	242	64	215	243
5148	61	64	255	230
5149	64	185	255	230
5150	258	51	245	243
5151	242	64	255	218
5152	258	48	242	230
5153	51	258	258	530
5154	64	64	255	233
5155	242	64	242	233
5156	255	51	245	243
5157	242	61	255	230
5158	61	261	239	240
5159	245	61	255	230
5160	245	51	255	230
5161	242	64	164	48
5162	242	243	54	242
5163	394	485	245	64
5164	258	51	239	240
5165	258	51	218	230
5166	245	64	255	230
5167	245	48	258	230
5168	61	248	239	227
5169	258	61	242	243
5170	245	64	237	227
5171	245	61	164	51
5172	242	230	54	666
5173	194	51	242	61
5174	255	61	215	230
5175	242	64	258	230
5176	230	64	252	230
5177	64	258	215	243
5178	255	64	239	230
5179	218	61	258	230
5180	258	64	242	218
5181	61	61	255	230
5182	48	312	242	230
5183	255	51	239	234
5184	242	64	258	233
5185	240	51	151	64
5186	258	230	67	252
5187	258	51	242	61
5188	255	64	221	243
5189	242	64	231	230
5190	242	61	255	230
5191	51	245	215	230
5192	51	51	242	243
5193	245	51	255	230
5194	255	64	239	240
5195	242	51	258	230
5196	61	255	242	243
5197	242	64	258	218
5198	258	51	242	230
5199	245	48	255	64
5200	64	194	255	221
5201	621	64	258	230
5202	258	48	242	243
5203	245	64	258	233
5204	176	61	252	227
5205	64	242	242	230
5206	258	48	242	240
5207	242	64	258	230
5208	258	48	151	64
5209	255	230	67	252
5210	245	48	255	64
5211	261	64	245	230
5212	218	64	255	230
5213	218	64	255	230
5214	64	249	245	243
5215	51	51	258	230
5216	242	64	255	221
5217	258	48	242	240
5218	258	51	242	243
5219	61	258	239	227
5220	245	61	200	243
5221	242	61	242	227
5222	242	64	255	64
5223	255	230	67	255
5224	245	61	255	51
5225	258	64	239	243
5226	245	61	242	230
5227	258	61	215	243
5228	51	242	255	227
5229	255	48	242	243
5230	245	64	255	230
5231	255	51	154	64
5232	48	245	252	233
5233	61	64	255	230
5234	242	61	255	221
5235	258	48	245	230
5236	255	64	1139	234
5237	64	245	242	230
5238	48	64	255	227
5239	258	48	215	233
5240	258	48	242	240
5241	258	48	242	64
5242	255	230	67	255
5243	194	51	242	64
5244	242	64	255	230
5245	242	64	243	230
5246	255	64	215	227
5247	64	258	239	230
5248	255	51	218	230
5249	242	51	258	230
5250	224	64	258	230
5251	182	48	236	240
5252	64	258	242	230
5253	221	48	242	243
5254	255	64	242	218
5255	245	64	167	64
5256	218	237	51	239
5257	197	61	255	51
5258	258	51	345	243
5259	246	48	242	240
5260	245	64	258	230
5261	48	245	252	227
5262	258	51	218	230
5263	258	51	218	233
5264	248	61	255	230
5265	48	64	258	221
5266	48	242	231	230
5267	258	64	242	227
5268	224	64	258	230
5269	258	51	148	64
5270	51	245	255	230
5271	64	64	339	797
5272	245	61	255	221
5273	258	51	242	243
5274	230	64	255	230
5275	221	61	161	64
5276	242	230	54	255
5277	258	51	406	230
5278	245	61	255	230
5279	255	51	242	243
5280	242	64	237	230
5281	64	245	255	230
5282	242	64	255	230
5283	245	51	231	230
5284	242	64	255	221
5285	64	255	242	243
5286	48	51	255	218
5287	258	48	242	230
5288	258	51	245	243
5289	255	51	242	64
5290	51	245	252	230
5291	245	64	255	227
5292	245	61	255	221
5293	242	64	167	64
5294	61	258	245	243
5295	64	51	242	243
5296	258	61	536	243
5297	242	48	255	230
5298	255	51	239	64
5299	255	233	67	258
5300	194	61	255	51
5301	242	64	258	230
5302	261	61	242	243
5303	245	48	255	221
5304	61	255	218	233
5305	258	48	242	243
5306	258	48	242	243
5307	242	64	215	243
5308	245	64	67	876
5309	242	243	51	51
5310	255	51	242	240
5311	245	61	255	230
5312	255	51	245	243
5313	61	64	255	230
5314	64	242	242	240
5315	258	51	648	243
5316	258	48	242	227
5317	245	61	255	97
5318	245	61	67	255
5319	255	230	67	64
5320	242	64	255	230
5321	258	48	242	240
5322	245	61	255	218
5323	64	258	242	243
5324	51	51	221	230
5325	243	51	245	243
5326	258	61	242	246
5327	255	51	242	64
5328	242	243	51	242
5329	258	61	242	64
5330	242	64	215	243
5331	258	61	242	230
5332	218	48	242	243
5333	64	261	215	230
5334	245	64	252	445
5335	218	61	258	230
5336	258	61	242	240
5337	242	51	67	64
5338	231	230	64	61
5339	245	51	255	230
5340	261	48	245	243
5341	255	51	242	218
5342	64	258	242	243
5343	51	51	242	243
5344	279	61	255	230
5345	727	64	252	230
